window_id,start_date,end_date,mean_return,median_return,return_std,market_volatility,market_max_drawdown,return_dispersion,volatility_dispersion,mean_correlation,correlation_std,avg_degree,network_density,clustering_coefficient,sector_concentration,sector_return_std,sector_return_spread,technology_minus_market
2021-02,2020-12-02,2021-02-24,0.13033171,0.12916091,0.07331753,0.22208447,-0.06024743,0.01023639,0.03791819,0.65180478,0.07761479,92.96153846,0.90253921,0.92984047,0.09337744,0.02226401,0.07083976,-0.00258596
2021-03,2020-12-30,2021-03-24,0.17457203,0.16846045,0.09331704,0.21572532,-0.06024743,0.01018633,0.03764832,0.64053503,0.08472801,88.05769231,0.85492905,0.90965588,0.09533778,0.03995301,0.13384003,0.00814383
2021-04,2021-01-27,2021-04-21,0.20213926,0.19335945,0.09675223,0.22425267,-0.08474102,0.01022271,0.03815906,0.65631649,0.08393463,91.76923077,0.89096341,0.92466493,0.09525343,0.04569891,0.14699598,0.02323374
2021-05,2021-02-24,2021-05-19,0.08133664,0.07512928,0.08616897,0.23631051,-0.08474102,0.01031324,0.04329473,0.67693589,0.08060109,96.55769231,0.93745332,0.95363678,0.10701777,0.03516679,0.11268232,0.01933426
2021-06,2021-03-24,2021-06-16,0.04503306,0.05169313,0.08233075,0.22564662,-0.10029961,0.01039298,0.04124228,0.65253041,0.08020339,92.34615385,0.89656460,0.92231775,0.13387638,0.03957600,0.14288503,-0.00278775
2021-07,2021-04-21,2021-07-14,-0.04186143,-0.03613792,0.06699505,0.21094358,-0.10029961,0.01023427,0.03989553,0.62605561,0.08676700,83.36538462,0.80937267,0.88042653,0.12064652,0.02449079,0.06818419,-0.00219700
2021-08,2021-05-19,2021-08-11,0.00787661,-0.00038273,0.07107596,0.19139414,-0.13213338,0.01008299,0.03362225,0.58505803,0.09157957,68.01923077,0.66038088,0.82423468,0.13185512,0.02905958,0.09864297,-0.01603372
2021-09,2021-06-16,2021-09-08,0.09085653,0.08649170,0.07670414,0.22024244,-0.13213338,0.01007203,0.03809559,0.65490336,0.07952046,92.63461538,0.89936520,0.92503263,0.09433436,0.01857821,0.05503844,-0.00221551
2021-10,2021-07-14,2021-10-06,0.24807595,0.24304355,0.10208456,0.23993052,-0.06918966,0.01014958,0.04189408,0.69256660,0.07139224,100.32692308,0.97404780,0.97664584,0.09516922,0.05591399,0.17482346,-0.01089101
2021-11,2021-08-11,2021-11-03,0.30577262,0.28518806,0.11272971,0.24981645,-0.06918966,0.01011589,0.04318645,0.71209655,0.06904258,101.63461538,0.98674384,0.98775776,0.09625402,0.07648568,0.23480478,0.04164648
2021-12,2021-09-08,2021-12-01,0.14048001,0.14417821,0.08773444,0.24323593,-0.06918966,0.01008918,0.04255142,0.70093507,0.06949061,101.26923077,0.98319642,0.98441256,0.09848610,0.04162336,0.12265020,0.04000619
2021-12,2021-10-06,2021-12-29,0.00251444,-0.00047529,0.07110768,0.22301743,-0.09951149,0.01011713,0.03786750,0.65861616,0.07664585,93.92307692,0.91187453,0.93968077,0.16371725,0.02200025,0.07707142,0.04744379
2022-01,2021-11-03,2022-01-26,-0.04258942,-0.04047718,0.07443924,0.23777082,-0.10389653,0.01026672,0.03944834,0.68167483,0.07309597,98.40384615,0.95537715,0.96304543,0.10484246,0.01744269,0.04819471,0.00939721
2022-02,2021-12-01,2022-02-23,-0.10102407,-0.11097805,0.06905495,0.25600538,-0.15602749,0.01023075,0.04060456,0.71570420,0.06367424,102.19230769,0.99215833,0.99257805,0.09327847,0.01693007,0.04463435,-0.01597061
2022-03,2021-12-29,2022-03-23,0.00563439,-0.00794691,0.09023338,0.28585401,-0.15602749,0.01030009,0.04572864,0.75973990,0.05603229,102.98076923,0.99981329,0.99981329,0.11010685,0.03269363,0.08950579,-0.04965122
2022-04,2022-01-26,2022-04-20,0.12793526,0.12431175,0.10694953,0.25721431,-0.06657002,0.01030187,0.04295167,0.71768634,0.06425525,102.13461538,0.99159821,0.99234914,0.11143800,0.06329106,0.20482908,-0.05414817
2022-05,2022-02-23,2022-05-18,0.11455302,0.10419622,0.10295079,0.23621742,-0.11538660,0.01029806,0.04080638,0.68025438,0.07335234,98.28846154,0.95425691,0.96392051,0.10869548,0.05357990,0.17404569,-0.05942241
2022-06,2022-03-23,2022-06-15,-0.01477708,-0.02264216,0.07940463,0.25411361,-0.19704307,0.01026683,0.04269281,0.71241061,0.06709226,101.78846154,0.98823749,0.98917963,0.15016553,0.04951659,0.16896313,-0.05331874
2022-07,2022-04-20,2022-07-13,-0.04454957,-0.04821334,0.07342477,0.28101608,-0.19704307,0.01029691,0.04672049,0.75229226,0.06185209,102.78846154,0.99794623,0.99802929,0.13076142,0.03738618,0.11788897,-0.05365686
2022-08,2022-05-18,2022-08-10,0.04702541,0.04460724,0.07907019,0.31736653,-0.08657672,0.01043348,0.05400702,0.79463822,0.05067307,103.00000000,1.00000000,1.00000000,0.13856004,0.04170489,0.10068848,-0.05161234
2022-09,2022-06-15,2022-09-07,0.10978607,0.10671010,0.08923406,0.30764272,-0.08466065,0.01054332,0.05730526,0.78278641,0.05288545,103.00000000,1.00000000,1.00000000,0.10459392,0.04445092,0.15488438,-0.05402114
2022-10,2022-07-13,2022-10-05,0.14054760,0.13934072,0.09348963,0.29944847,-0.08068860,0.01047310,0.05566456,0.77486733,0.05448792,102.94230769,0.99943988,0.99944325,0.10105286,0.04930255,0.17165742,-0.07254175
2022-11,2022-08-10,2022-11-02,0.13721226,0.12909616,0.09268807,0.28665347,-0.07859140,0.01051317,0.05329990,0.75564590,0.05781212,102.92307692,0.99925317,0.99926767,0.09997628,0.04532750,0.15242348,-0.06436029
2022-11,2022-09-07,2022-11-30,0.06798542,0.07207581,0.08262337,0.28098608,-0.13050857,0.01044540,0.04968677,0.74858039,0.06019186,102.96153846,0.99962659,0.99962644,0.10961292,0.03241960,0.10769919,-0.04980455
2022-12,2022-10-05,2022-12-28,-0.12396822,-0.11971454,0.06727225,0.29289512,-0.19702613,0.01052692,0.05427549,0.76324873,0.05712928,102.98076923,0.99981329,0.99981329,0.09665727,0.03227316,0.11141507,-0.03169147
2023-01,2022-11-02,2023-01-25,-0.10024879,-0.10129415,0.06994354,0.25901889,-0.16209671,0.01014050,0.04876233,0.72709130,0.06721366,102.46153846,0.99477222,0.99499701,0.09660708,0.02593768,0.08698546,-0.00466917
2023-02,2022-11-30,2023-02-22,-0.03378554,-0.04138856,0.07630446,0.22309408,-0.08519628,0.00970932,0.04295730,0.67901403,0.07750995,97.38461538,0.94548170,0.95649874,0.11438414,0.02708041,0.08314031,0.03648445
2023-03,2022-12-28,2023-03-22,0.01305984,0.01003336,0.08438649,0.16768551,-0.06006490,0.00942366,0.02912334,0.55420101,0.09311891,54.86538462,0.53267364,0.76205786,0.13067250,0.04278826,0.12658373,0.05586611
2023-04,2023-01-25,2023-04-19,0.09476932,0.10153149,0.09116051,0.16597064,-0.04654951,0.00943559,0.02650795,0.54882162,0.09123041,51.98076923,0.50466766,0.75196132,0.11557084,0.05704009,0.22070288,0.05402458
2023-05,2023-02-22,2023-05-17,0.12975380,0.12223864,0.09020922,0.17630652,-0.04815080,0.00960375,0.03049691,0.56913694,0.09300843,61.90384615,0.60100822,0.79775530,0.10315027,0.04948041,0.13782084,0.05518914
2023-06,2023-03-22,2023-06-14,0.15445196,0.14157625,0.09326071,0.18891104,-0.05722291,0.00957553,0.03468051,0.60664169,0.08598104,77.53846154,0.75280060,0.85098723,0.10278938,0.05768610,0.15462385,0.07199380
2023-07,2023-04-19,2023-07-12,0.12191634,0.11122964,0.10238131,0.19331083,-0.06085188,0.00958121,0.03465707,0.61834003,0.08495672,81.86538462,0.79480956,0.87460462,0.11060813,0.05912699,0.17662575,0.05679053
2023-08,2023-05-17,2023-08-09,0.07478985,0.06784188,0.08521807,0.20639055,-0.06085188,0.00948745,0.03593577,0.65355570,0.08170021,91.92307692,0.89245706,0.92813321,0.13286513,0.05243339,0.14765208,0.05307189
2023-09,2023-06-14,2023-09-06,0.16209181,0.14591399,0.10056151,0.20753344,-0.08340149,0.00952813,0.03411316,0.65433805,0.07940796,92.61538462,0.89917849,0.92835132,0.10631152,0.06861300,0.22574629,0.06702045
2023-10,2023-07-12,2023-10-04,0.13709216,0.11990948,0.09262929,0.21351681,-0.08340149,0.00952622,0.03356561,0.66630635,0.07870576,95.13461538,0.92363704,0.94331471,0.10905942,0.06251319,0.21353668,0.07707969
2023-11,2023-08-09,2023-11-01,0.15278425,0.12502116,0.09732235,0.21120572,-0.06228029,0.00966755,0.03361468,0.65402413,0.07887027,92.94230769,0.90235250,0.92506359,0.10840450,0.06796273,0.22566041,0.06828694
2023-11,2023-09-06,2023-11-29,0.10665167,0.10283870,0.08059204,0.19843559,-0.06228029,0.00966586,0.03323940,0.62408876,0.08736634,83.11538462,0.80694548,0.88590023,0.11129245,0.05118038,0.16906614,0.05979711
2023-12,2023-10-04,2023-12-27,0.00851027,0.00724093,0.07225810,0.19468156,-0.06630541,0.00961046,0.03241474,0.61787334,0.08524228,81.76923077,0.79387603,0.87528775,0.15372839,0.02986737,0.09436326,0.04108269
2024-01,2023-11-01,2024-01-24,0.02796356,0.01521976,0.08227878,0.18426959,-0.07974515,0.00961965,0.03146284,0.59064738,0.09036890,70.75000000,0.68689320,0.83447528,0.14433970,0.03576388,0.11711348,0.02581716
2024-02,2023-11-29,2024-02-21,0.05089851,0.04262012,0.07957079,0.17347013,-0.07974515,0.00954246,0.03025938,0.56411582,0.09544577,59.07692308,0.57356236,0.79669411,0.12765847,0.03722031,0.11518027,0.01762984
2024-03,2023-12-27,2024-03-20,0.10278452,0.09705877,0.08555490,0.16086434,-0.03710504,0.00955817,0.03051935,0.52591512,0.09866192,43.03846154,0.41784914,0.73886753,0.11432843,0.05419047,0.19927542,0.02284110
2024-04,2024-01-24,2024-04-17,0.11222688,0.09984278,0.09273752,0.15022741,-0.03710504,0.00938585,0.02429740,0.49964654,0.10360064,34.07692308,0.33084391,0.68560080,0.11572526,0.06004146,0.21313577,0.04846364
2024-05,2024-02-21,2024-05-15,0.11104176,0.09691532,0.09072413,0.17262493,-0.03710504,0.00942154,0.03010408,0.56749609,0.09786583,60.55769231,0.58793876,0.80834806,0.11155641,0.05371336,0.17530197,0.05819098
2024-06,2024-03-20,2024-06-12,0.07981877,0.07925620,0.08281047,0.16712128,-0.03126726,0.00951821,0.02923686,0.54485630,0.10193061,52.38461538,0.50858850,0.77511071,0.12525391,0.04916844,0.14923341,0.06577692
2024-07,2024-04-17,2024-07-10,0.09188314,0.09762098,0.08413471,0.17042319,-0.04161284,0.00965289,0.03022484,0.54847741,0.09765094,53.78846154,0.52221807,0.77410320,0.11630160,0.04884445,0.12738341,0.05947428
2024-08,2024-05-15,2024-08-07,0.12850436,0.12544256,0.09093975,0.18239514,-0.04161284,0.00962563,0.03143268,0.58429696,0.09683366,68.38461538,0.66392830,0.84612962,0.10955485,0.05895751,0.19163097,0.05081037
2024-09,2024-06-12,2024-09-04,0.13598730,0.13066696,0.10017364,0.19200288,-0.05435584,0.00952937,0.03428414,0.61836965,0.08385149,82.05769231,0.79667662,0.88546176,0.10650877,0.05715084,0.17498939,0.06502046
2024-10,2024-07-10,2024-10-02,0.11681636,0.11411342,0.09568326,0.19230868,-0.07654069,0.00941609,0.03345390,0.62481977,0.08294056,84.71153846,0.82244212,0.88681377,0.10837776,0.05181633,0.17833813,0.06910641
2024-10,2024-08-07,2024-10-30,0.02401519,0.01158991,0.08147562,0.17407591,-0.07654069,0.00935256,0.03037159,0.57747427,0.09123192,64.51923077,0.62640030,0.80535062,0.23812055,0.04475376,0.13638746,0.07361406
2024-11,2024-09-04,2024-11-27,0.03004057,0.02717993,0.08039269,0.16465243,-0.05070792,0.00937777,0.02754136,0.54696468,0.09541950,51.73076923,0.50224048,0.76316471,0.17492206,0.04367708,0.14258771,0.05884691
2024-12,2024-10-02,2024-12-25,-0.00720644,-0.01161270,0.07840876,0.17237419,-0.04591551,0.00938074,0.03166659,0.57021614,0.09147095,61.55769231,0.59764750,0.79396153,0.13146758,0.04330591,0.14884718,0.05675356
2025-01,2024-10-30,2025-01-22,0.02836855,0.02236792,0.07014305,0.16243822,-0.04607451,0.00921894,0.03066642,0.54836044,0.09282881,52.38461538,0.50858850,0.74864342,0.17758816,0.03320949,0.10288461,0.03119697
2025-02,2024-11-27,2025-02-19,-0.02250238,-0.02143787,0.06508625,0.14893823,-0.07192867,0.00895356,0.02863274,0.51860620,0.10216429,40.42307692,0.39245706,0.67587951,0.15756789,0.02913769,0.10425474,0.01467682
2025-03,2024-12-25,2025-03-19,-0.01145681,-0.01467510,0.06857793,0.12677480,-0.10437791,0.00874805,0.02281248,0.44949688,0.10223266,16.67307692,0.16187453,0.48370216,0.13702046,0.02153516,0.07951367,-0.00720027
2025-04,2025-01-22,2025-04-16,-0.03089491,-0.03678251,0.06872597,0.14309126,-0.09242618,0.00870032,0.02527487,0.51359878,0.09967868,39.01923077,0.37882748,0.69778623,0.11415109,0.01625026,0.05141462,0.00445337
2025-05,2025-02-19,2025-05-14,-0.01686935,-0.01419795,0.06413102,0.16524896,-0.06570055,0.00863218,0.02841348,0.59019891,0.09079850,69.94230769,0.67905153,0.83289204,0.11736687,0.02553029,0.08392774,0.00482098
2025-06,2025-03-19,2025-06-11,0.00678869,0.00927572,0.06480217,0.15900493,-0.06570055,0.00854638,0.02728031,0.57488521,0.09597247,63.80769231,0.61949216,0.81520842,0.18506178,0.02013628,0.07953921,0.01967663
